,ALFAA,ALFAA,ALFAA,AMXL,AMXL,AMXL,BIMBOA,BIMBOA,BIMBOA,CEMEXCPO,CEMEXCPO,CEMEXCPO,FEMSAUBD,FEMSAUBD,FEMSAUBD,WALMEX,WALMEX,WALMEX
61,0.03,16.59,1.72,-0.02,15.10,1.23,0.05,37.28,3.71,0.01,7.26,0.62,0.00,181.44,11.94,0.00,55.26,4.56
62,-0.02,15.88,1.61,0.00,15.35,1.25,-0.01,34.89,3.03,0.00,7.18,0.60,-0.02,177.63,11.69,-0.01,54.60,4.48
63,0.02,16.49,1.69,0.02,15.68,1.33,-0.02,34.80,3.03,-0.01,7.07,0.59,-0.06,171.28,13.08,0.01,55.75,4.66
64,-0.04,15.57,1.62,0.04,15.89,1.41,0.08,38.33,4.30,0.00,7.19,0.61,-0.04,174.77,12.04,0.09,60.17,6.83
65,-0.05,15.45,1.64,-0.02,15.05,1.23,-0.08,32.79,3.40,0.01,7.22,0.61,-0.03,176.71,11.78,-0.08,51.01,5.14
66,0.02,16.44,1.68,-0.03,14.85,1.24,0.03,36.54,3.38,-0.02,7.04,0.59,0.04,188.66,14.42,0.03,56.63,4.92
67,-0.03,15.62,1.61,-0.09,14.08,1.47,-0.02,34.51,3.03,-0.05,6.78,0.62,0.01,184.12,12.56,0.03,57.02,5.05
68,0.07,17.38,2.06,0.02,15.71,1.34,-0.03,34.32,3.03,0.04,7.48,0.70,0.01,182.91,12.24,-0.08,51.03,5.13
69,0.04,16.81,1.80,0.04,15.99,1.45,0.06,37.58,3.86,0.00,7.14,0.60,0.03,186.69,13.47,0.03,56.66,4.93
70,0.03,16.59,1.73,0.01,15.49,1.28,-0.03,34.33,3.03,0.03,7.36,0.65,0.01,184.13,12.56,-0.05,52.31,4.69
71,0.02,16.49,1.69,-0.01,15.11,1.23,0.05,37.28,3.71,-0.04,6.86,0.60,0.00,180.72,11.82,0.01,55.77,4.66
72,-0.09,14.80,1.81,-0.06,14.40,1.34,0.03,36.52,3.37,-0.09,6.55,0.71,-0.01,179.36,11.73,0.03,56.69,4.94
73,0.04,16.81,1.80,-0.03,14.95,1.23,-0.05,33.71,3.12,0.04,7.42,0.67,0.00,180.82,11.84,0.06,58.70,5.88
74,-0.07,14.99,1.74,-0.03,14.88,1.24,-0.02,34.75,3.03,0.00,7.16,0.60,0.04,188.02,14.10,0.00,55.23,4.56
75,0.00,16.20,1.64,-0.02,14.98,1.23,0.03,36.33,3.31,-0.03,6.94,0.59,0.00,181.81,12.01,0.05,58.10,5.55
76,0.03,16.59,1.73,0.01,15.55,1.29,0.04,36.64,3.41,-0.01,7.08,0.59,0.07,194.07,17.70,0.00,55.13,4.54
77,-0.02,15.80,1.61,0.04,15.88,1.40,-0.04,34.09,3.06,-0.01,7.12,0.59,-0.02,177.33,11.71,0.07,59.13,6.14
78,0.04,16.83,1.80,0.02,15.67,1.33,0.02,36.02,3.21,0.03,7.35,0.65,0.03,187.50,13.85,-0.07,51.25,5.04
79,-0.07,15.00,1.74,0.00,15.34,1.25,-0.04,33.91,3.09,0.03,7.35,0.65,0.06,191.78,16.19,-0.02,54.08,4.47
80,-0.12,14.32,2.05,0.00,15.31,1.25,0.02,36.11,3.24,-0.01,7.05,0.59,-0.01,179.39,11.73,0.03,56.73,4.95
81,0.08,17.43,2.09,-0.04,14.78,1.25,-0.01,34.96,3.03,0.03,7.38,0.66,0.01,183.64,12.41,0.00,55.39,4.59
82,-0.06,15.21,1.68,-0.03,14.95,1.23,-0.04,33.96,3.08,0.01,7.21,0.61,0.00,182.13,12.08,-0.09,50.61,5.32
83,-0.05,15.43,1.64,-0.04,14.77,1.25,0.00,35.52,3.10,0.03,7.40,0.66,-0.01,180.28,11.77,-0.06,52.06,4.76
84,0.06,17.10,1.92,-0.02,15.07,1.23,0.03,36.46,3.36,0.01,7.21,0.61,0.01,182.48,12.15,0.04,57.44,5.24
85,0.03,16.65,1.75,0.04,16.02,1.47,-0.05,33.63,3.14,0.02,7.28,0.63,0.03,186.74,13.50,-0.01,54.35,4.47
86,-0.02,15.76,1.61,-0.03,14.83,1.24,-0.03,34.46,3.03,-0.01,7.12,0.59,-0.04,174.39,12.13,-0.05,52.30,4.69
87,0.01,16.26,1.65,0.03,15.84,1.39,-0.03,34.23,3.05,0.03,7.38,0.66,0.04,188.77,14.47,-0.07,51.65,4.89
88,-0.07,15.04,1.73,-0.07,14.22,1.40,0.02,36.15,3.25,-0.01,7.12,0.59,-0.01,179.29,11.73,-0.03,53.51,4.48
89,0.03,16.71,1.76,0.06,16.35,1.64,0.03,36.48,3.36,0.05,7.52,0.72,0.00,182.23,12.10,0.06,58.57,5.81
90,0.10,17.89,2.38,0.01,15.47,1.28,0.02,36.00,3.21,0.01,7.20,0.61,-0.01,179.76,11.75,-0.01,54.75,4.48
91,0.10,17.94,2.41,0.06,16.25,1.58,0.02,35.97,3.20,0.02,7.30,0.63,0.03,187.68,13.93,0.00,55.32,4.58
92,0.02,16.46,1.69,0.07,16.49,1.72,-0.03,34.48,3.03,0.03,7.41,0.67,0.04,188.70,14.43,0.07,59.20,6.18
93,0.04,16.90,1.83,-0.06,14.47,1.32,-0.02,34.76,3.03,0.00,7.16,0.60,0.01,182.47,12.15,0.04,57.38,5.21
94,-0.05,15.41,1.64,-0.07,14.24,1.40,0.12,39.98,5.52,0.00,7.14,0.60,-0.06,171.35,13.05,0.00,54.94,4.51
95,-0.14,14.12,2.17,-0.08,14.21,1.41,0.02,36.20,3.27,0.02,7.31,0.63,-0.05,172.72,12.58,0.00,54.89,4.50
96,-0.04,15.48,1.63,-0.01,15.18,1.23,0.01,35.68,3.13,-0.01,7.06,0.59,0.01,182.90,12.23,-0.04,52.92,4.56
97,-0.12,14.30,2.06,-0.10,13.94,1.54,-0.04,33.86,3.09,-0.05,6.79,0.62,0.00,181.41,11.93,0.00,55.38,4.58
98,0.14,18.51,2.83,0.07,16.51,1.74,-0.01,35.15,3.04,0.02,7.33,0.64,0.07,193.90,17.58,0.01,55.78,4.66
99,-0.04,15.47,1.63,-0.02,15.00,1.23,-0.03,34.32,3.03,0.01,7.24,0.62,0.03,186.19,13.28,-0.05,52.57,4.62
100,0.05,16.98,1.87,-0.01,15.19,1.23,0.07,38.04,4.13,0.04,7.47,0.69,0.02,185.02,12.86,-0.08,51.10,5.10
101,-0.01,16.00,1.61,-0.05,14.64,1.27,-0.04,33.92,3.09,-0.01,7.06,0.59,0.00,180.76,11.83,-0.09,50.21,5.52
102,-0.05,15.32,1.66,0.01,15.48,1.28,0.03,36.52,3.37,-0.01,7.07,0.59,-0.01,180.12,11.77,-0.01,54.60,4.48
103,-0.03,15.68,1.61,0.05,16.05,1.48,0.04,36.73,3.45,-0.01,7.08,0.59,0.03,186.09,13.24,0.03,56.88,5.00
104,-0.08,14.96,1.75,0.03,15.79,1.37,-0.02,34.63,3.03,-0.02,7.00,0.59,-0.03,175.72,11.89,0.05,57.94,5.47
105,0.00,16.22,1.64,-0.04,14.70,1.26,0.03,36.33,3.31,-0.01,7.06,0.59,0.05,191.24,15.86,0.05,57.73,5.37
106,-0.04,15.60,1.61,0.06,16.29,1.60,-0.04,33.87,3.09,-0.03,6.95,0.59,0.02,185.93,13.19,-0.03,53.56,4.48
107,0.03,16.68,1.76,0.04,16.01,1.46,0.05,37.34,3.73,0.03,7.41,0.67,0.00,181.68,11.99,0.00,55.06,4.53
108,0.10,17.93,2.40,0.01,15.54,1.29,0.03,36.29,3.30,0.03,7.41,0.67,0.02,184.67,12.74,0.09,60.24,6.88
109,0.01,16.38,1.67,-0.05,14.55,1.29,0.00,35.20,3.05,-0.02,6.99,0.59,-0.02,178.44,11.69,0.01,55.82,4.67
110,-0.05,15.35,1.65,-0.02,14.99,1.23,-0.08,32.69,3.45,-0.04,6.89,0.60,-0.02,177.75,11.69,-0.06,51.82,4.83
111,0.03,16.58,1.72,0.05,16.09,1.50,-0.01,35.05,3.04,0.00,7.18,0.60,-0.01,180.50,11.78,0.01,55.56,4.62
112,-0.01,15.94,1.61,0.01,15.45,1.27,-0.03,34.34,3.03,-0.05,6.80,0.62,-0.03,176.27,11.83,-0.07,51.51,4.93
113,-0.01,16.05,1.62,-0.03,14.92,1.23,0.00,35.29,3.06,-0.06,6.75,0.63,-0.03,176.02,11.86,0.05,57.80,5.41
114,0.01,16.37,1.67,-0.06,14.39,1.34,0.02,36.01,3.21,-0.02,7.00,0.59,-0.01,179.73,11.75,-0.03,53.69,4.47
115,-0.12,14.37,2.02,-0.02,14.98,1.23,-0.06,33.40,3.20,-0.05,6.81,0.61,-0.01,180.53,11.79,0.01,55.87,4.68
116,0.04,16.75,1.78,0.01,15.54,1.29,-0.01,35.04,3.04,-0.02,7.01,0.59,0.04,188.29,14.24,-0.09,50.61,5.32
117,0.01,16.29,1.65,-0.02,15.01,1.23,-0.01,35.18,3.05,0.00,7.18,0.60,-0.03,175.84,11.88,0.09,60.22,6.86
118,0.02,16.47,1.69,-0.01,15.13,1.23,-0.02,34.81,3.03,0.01,7.22,0.61,0.01,182.47,12.15,0.03,56.80,4.98
119,0.04,16.82,1.80,0.00,15.33,1.25,0.01,35.65,3.13,0.03,7.41,0.67,0.00,181.55,11.96,-0.02,54.14,4.47
120,0.05,16.94,1.85,-0.02,15.04,1.23,0.06,37.57,3.85,-0.02,7.00,0.59,0.04,188.24,14.21,-0.02,54.23,4.47
121,0.08,17.50,2.13,0.07,16.41,1.68,0.02,36.02,3.21,-0.02,7.01,0.59,0.07,194.47,17.98,-0.01,54.41,4.47
122,0.10,17.82,2.33,-0.02,14.96,1.23,0.01,35.73,3.14,0.03,7.35,0.64,0.02,184.78,12.78,0.06,58.79,5.93
123,0.01,16.37,1.67,-0.04,14.78,1.25,0.04,36.82,3.49,0.01,7.23,0.61,-0.01,178.83,11.70,0.03,56.54,4.89
124,-0.02,15.90,1.61,0.03,15.73,1.35,-0.03,34.22,3.05,-0.03,6.97,0.59,0.01,183.72,12.43,0.05,58.16,5.58
125,0.01,16.28,1.65,0.00,15.35,1.25,0.02,35.91,3.18,0.06,7.62,0.77,0.00,182.28,12.11,0.01,55.49,4.61
126,-0.13,14.20,2.12,-0.02,15.02,1.23,-0.01,35.07,3.04,0.00,7.14,0.60,0.03,186.88,13.56,-0.01,54.60,4.48
127,0.13,18.32,2.68,0.01,15.47,1.28,0.00,35.19,3.05,-0.01,7.12,0.59,0.03,186.34,13.33,0.02,56.18,4.77
128,-0.02,15.83,1.61,-0.03,14.93,1.23,-0.05,33.73,3.12,0.09,7.84,0.91,-0.04,175.21,11.97,-0.02,53.86,4.47
129,0.03,16.71,1.76,0.03,15.82,1.38,0.05,37.04,3.59,0.06,7.57,0.74,-0.03,175.87,11.88,-0.08,51.10,5.10
130,0.03,16.68,1.76,0.04,16.00,1.45,-0.04,34.13,3.06,0.02,7.34,0.64,0.01,182.83,12.22,0.05,57.70,5.36
131,-0.09,14.72,1.84,-0.04,14.67,1.26,-0.08,32.49,3.53,0.05,7.53,0.72,-0.02,178.44,11.69,-0.05,52.55,4.62
132,0.03,16.69,1.76,0.00,15.30,1.24,-0.08,32.80,3.40,0.03,7.39,0.66,-0.05,173.44,12.38,-0.02,54.04,4.46
133,0.09,17.70,2.25,0.06,16.35,1.64,0.06,37.49,3.81,0.01,7.24,0.61,0.04,189.68,14.93,0.01,55.84,4.67
134,-0.09,14.82,1.80,0.00,15.33,1.25,-0.03,34.39,3.03,0.02,7.29,0.63,-0.05,172.68,12.59,-0.09,50.21,5.52
135,-0.06,15.22,1.67,-0.11,13.78,1.63,-0.05,33.65,3.13,-0.06,6.77,0.62,0.00,181.20,11.90,-0.01,54.30,4.47
136,-0.08,14.88,1.78,-0.09,14.04,1.48,0.02,35.97,3.20,-0.06,6.71,0.64,-0.01,178.82,11.70,-0.02,53.89,4.46
137,0.00,16.19,1.64,0.02,15.64,1.32,-0.06,33.36,3.21,-0.01,7.07,0.59,0.01,183.73,12.43,-0.02,53.96,4.46
138,-0.03,15.62,1.61,0.01,15.45,1.27,-0.02,34.73,3.03,0.02,7.27,0.62,-0.03,176.50,11.81,0.04,57.35,5.19
139,-0.06,15.18,1.69,0.03,15.74,1.35,0.01,35.56,3.11,0.00,7.15,0.60,0.00,180.87,11.84,-0.13,48.39,6.67
140,-0.01,15.92,1.61,-0.01,15.23,1.23,-0.03,34.27,3.04,-0.01,7.06,0.59,0.03,186.25,13.30,-0.04,53.13,4.53
141,-0.14,14.02,2.23,-0.04,14.80,1.25,-0.11,31.75,3.91,0.01,7.25,0.62,0.00,181.67,11.98,0.02,56.39,4.84
142,-0.09,14.71,1.85,0.01,15.46,1.27,-0.08,32.69,3.44,0.01,7.21,0.61,0.07,194.16,17.77,-0.05,52.44,4.65
143,-0.01,16.04,1.62,-0.02,15.01,1.23,0.04,36.89,3.52,-0.05,6.82,0.61,-0.01,179.59,11.74,0.10,60.72,7.22
144,0.10,17.79,2.31,0.05,16.06,1.49,0.07,38.07,4.15,0.03,7.36,0.65,0.03,186.25,13.30,-0.01,54.38,4.47
145,0.00,16.15,1.63,-0.02,14.97,1.23,0.04,36.74,3.46,-0.04,6.90,0.60,0.01,183.61,12.39,0.08,59.74,6.53
146,0.05,17.07,1.91,-0.02,15.02,1.23,0.06,37.64,3.89,0.01,7.23,0.61,-0.03,176.18,11.84,-0.01,54.56,4.48
147,0.04,16.79,1.79,0.05,16.18,1.54,-0.03,34.20,3.05,0.08,7.75,0.85,-0.02,178.49,11.69,0.09,60.09,6.77
148,0.10,17.79,2.31,0.08,16.56,1.77,0.05,37.24,3.69,-0.02,7.05,0.59,0.06,192.73,16.77,0.01,55.68,4.64
149,0.07,17.36,2.05,0.05,16.11,1.51,0.02,36.19,3.26,-0.02,7.00,0.59,-0.03,176.97,11.75,0.14,63.30,9.33
150,-0.01,15.93,1.61,-0.02,15.01,1.23,0.08,38.27,4.26,0.02,7.30,0.63,0.00,182.06,12.06,-0.09,50.61,5.32
151,-0.04,15.48,1.63,-0.02,14.98,1.23,-0.03,34.36,3.03,0.03,7.39,0.66,-0.02,178.36,11.69,-0.02,54.00,4.46
152,0.11,17.97,2.43,0.04,15.89,1.41,0.02,36.13,3.24,-0.01,7.10,0.59,-0.01,179.11,11.72,0.02,56.09,4.74
153,0.11,17.96,2.42,0.02,15.56,1.30,0.03,36.45,3.35,0.06,7.60,0.76,0.02,185.78,13.13,0.06,58.61,5.83
154,-0.03,15.70,1.61,-0.01,15.24,1.24,0.06,37.73,3.94,0.04,7.45,0.68,0.01,182.85,12.23,-0.04,53.17,4.53
155,-0.06,15.16,1.69,-0.01,15.18,1.23,0.01,35.88,3.17,0.01,7.26,0.62,-0.05,173.24,12.44,-0.03,53.23,4.52
156,0.02,16.43,1.68,-0.01,15.21,1.23,0.03,36.40,3.33,-0.05,6.80,0.62,0.02,184.42,12.65,-0.05,52.52,4.63
157,-0.02,15.77,1.61,0.02,15.70,1.34,-0.03,34.42,3.03,-0.03,6.93,0.59,0.03,186.44,13.37,0.01,55.77,4.66
158,0.13,18.45,2.78,0.09,16.72,1.88,0.05,37.10,3.62,0.01,7.23,0.61,0.03,187.09,13.66,0.01,55.47,4.61
159,-0.06,15.20,1.68,0.03,15.83,1.38,-0.10,31.88,3.84,0.03,7.39,0.66,0.00,181.98,12.05,-0.05,52.47,4.64
160,-0.01,16.08,1.62,0.01,15.50,1.28,-0.02,34.76,3.03,-0.03,6.98,0.59,-0.02,177.95,11.69,0.04,57.22,5.13
161,0.03,16.57,1.72,0.04,15.97,1.44,0.03,36.53,3.38,0.02,7.34,0.64,0.01,183.80,12.46,0.08,59.69,6.49
162,0.02,16.52,1.70,-0.01,15.12,1.23,0.02,36.19,3.26,0.05,7.51,0.71,-0.02,177.77,11.69,-0.09,50.18,5.54
163,0.11,18.11,2.53,0.01,15.55,1.29,0.03,36.31,3.30,0.01,7.25,0.62,-0.04,174.37,12.14,-0.03,53.43,4.49
164,-0.03,15.67,1.61,0.08,16.69,1.86,-0.02,34.63,3.03,-0.05,6.81,0.61,0.03,187.19,13.71,-0.01,54.74,4.48
165,0.05,17.05,1.90,0.04,16.01,1.46,0.03,36.31,3.30,0.00,7.13,0.59,0.02,185.13,12.90,-0.04,53.08,4.54
166,-0.03,15.69,1.61,-0.01,15.15,1.23,0.02,35.96,3.19,-0.03,6.94,0.59,0.06,192.72,16.76,0.03,57.03,5.05
167,-0.04,15.60,1.61,0.00,15.33,1.25,-0.03,34.15,3.06,-0.05,6.80,0.62,-0.02,178.25,11.69,0.00,54.96,4.51
168,0.07,17.28,2.00,0.03,15.74,1.35,-0.04,33.81,3.10,-0.04,6.85,0.61,0.01,182.87,12.23,0.03,56.59,4.91
169,-0.07,15.01,1.74,0.04,16.03,1.47,0.05,37.19,3.67,-0.04,6.88,0.60,0.05,191.69,16.13,0.14,63.42,9.43
170,0.05,16.90,1.83,-0.03,14.90,1.23,0.02,35.90,3.18,-0.05,6.80,0.62,0.04,188.98,14.58,-0.01,54.33,4.47
171,-0.03,15.67,1.61,0.05,16.14,1.52,0.01,35.68,3.13,-0.05,6.80,0.62,0.03,187.61,13.90,0.07,59.12,6.13
172,0.03,16.57,1.72,-0.03,14.90,1.23,-0.01,35.05,3.04,0.04,7.44,0.68,0.00,182.26,12.10,-0.05,52.43,4.66
173,-0.12,14.36,2.02,-0.03,14.89,1.23,0.02,36.11,3.24,-0.01,7.12,0.59,-0.02,178.63,11.70,0.03,56.92,5.01
174,-0.02,15.88,1.61,0.02,15.58,1.30,0.01,35.56,3.11,0.01,7.21,0.61,-0.03,175.67,11.90,-0.06,51.99,4.78
175,-0.15,13.90,2.31,-0.04,14.76,1.25,-0.02,34.71,3.03,-0.05,6.80,0.62,0.05,189.95,15.09,-0.09,50.43,5.40
176,-0.02,15.88,1.61,-0.02,15.07,1.23,-0.03,34.15,3.06,-0.02,7.04,0.59,0.03,187.86,14.02,-0.08,50.78,5.24
177,-0.09,14.80,1.81,-0.07,14.35,1.35,-0.02,34.65,3.03,-0.07,6.65,0.66,-0.03,176.88,11.76,0.00,55.24,4.56
178,-0.06,15.20,1.68,0.04,15.97,1.44,-0.03,34.16,3.05,0.02,7.31,0.63,0.04,188.10,14.14,-0.13,48.45,6.63
